weight,B2,BNPL1,EF1,EF3_f,EF7,B0_a,B0_b,B0_c,ppagecat,ppgender,ppinc7,educ_4cat,BNPL1_bin,B0_a_r,B0_b_r,B0_c_r,B2_r,EF1_r,EF3_f_r,EF7_r,VULN_PCA1
0.3751,Finding it difficult to get by,No,No,No,Under $100,Somewhat,Not at all,Somewhat,55-64,Female,"Less than $10,000",Some college/technical or associates degree,0,2,0,2,3,1,0,4,0.8011497232224285
1.3232,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,35-44,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.6161,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.9303,Doing okay,No,Yes,No,$500 to $999,Somewhat,Somewhat,Somewhat,35-44,Female,"$50,000 to $74,999",Bachelor's degree or more,0,2,2,2,1,0,0,2,0.021489059782358724
1.2157,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,45-54,Female,"$150,000 or more",Bachelor's degree or more,0,3,1,1,0,0,0,0,-0.9566686792713515
0.446,Just getting by,No,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Very well,65-74,Male,"Less than $10,000",Some college/technical or associates degree,0,2,2,3,2,0,0,1,0.2847630902652987
1.3756,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Very well,55-64,Female,"$150,000 or more",High school degree or GED,0,3,2,3,1,0,0,0,-0.2476661206054914
0.9222,Living comfortably,No,No,No,Under $100,Completely,Somewhat,Very well,45-54,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,0,2,3,0,1,0,4,0.9114244418240138
0.2013,Living comfortably,No,Yes,No,$500 to $999,Very little,Very little,Very little,55-64,Female,"$25,000 to $49,999",Bachelor's degree or more,0,3,1,1,0,0,0,2,-0.6984890338752292
0.9582,Living comfortably,No,Yes,No,$500 to $999,Not at all,Not at all,Not at all,65-74,Female,"$10,000 to $24,999",High school degree or GED,0,4,0,0,0,0,0,2,-1.1841377236496702
0.6644,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Not at all,25-34,Male,"$75,000 to $99,999",Bachelor's degree or more,0,3,1,0,1,0,0,0,-0.8803737246860579
0.9792,Finding it difficult to get by,No,No,No,Under $100,Very well,Not at all,Completely,25-34,Male,"Less than $10,000",High school degree or GED,0,1,0,4,3,1,0,4,1.2862286061077182
0.9606,Just getting by,Yes,No,Yes,$100 to $499,Somewhat,Completely,Somewhat,25-34,Female,"$25,000 to $49,999",Some college/technical or associates degree,1,2,4,2,2,1,1,3,1.4458072440148666
0.746,Doing okay,No,Yes,No,"$1,000 to $1,999",Not at all,Not at all,Very little,75+,Female,"$50,000 to $74,999",Bachelor's degree or more,0,4,0,1,1,0,0,1,-0.9208636931667297
0.558,Just getting by,Yes,Yes,No,$500 to $999,Very well,Completely,Completely,35-44,Male,"$25,000 to $49,999",Bachelor's degree or more,1,1,4,4,2,0,0,2,1.0581058589248056
1.4083,Doing okay,No,Yes,No,Under $100,Somewhat,Very little,Somewhat,25-34,Male,"$10,000 to $24,999",Less than a high school degree,0,2,1,2,1,0,0,4,0.12106444899147585
0.6682,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Very well,Very well,55-64,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,2,3,3,1,0,0,0,0.07994811987109539
0.8724,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Somewhat,Very little,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,3,2,1,1,0,0,1,-0.43464519650313804
0.4754,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$50,000 to $74,999",Bachelor's degree or more,0,4,0,0,1,0,0,0,-1.2079879651626448
0.6936,Doing okay,No,No,No,$100 to $499,Very little,Somewhat,Very little,75+,Male,"$150,000 or more",Bachelor's degree or more,0,3,2,1,1,1,0,3,0.1935651715446472
0.9613,Living comfortably,Yes,Yes,No,"$2,000 or more",Very little,Somewhat,Somewhat,75+,Female,"$150,000 or more",Bachelor's degree or more,1,3,2,2,0,0,0,0,-0.6400299737864926
0.9544,Doing okay,No,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Somewhat,55-64,Female,"$25,000 to $49,999",Some college/technical or associates degree,0,2,2,2,1,0,0,1,-0.10760076291570236
0.9854,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Male,"$50,000 to $74,999",High school degree or GED,0,4,0,0,1,0,0,0,-1.2079879651626448
0.9681,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Female,"$150,000 or more",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
0.5637,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Not at all,Not at all,75+,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,0,0,0,0,0,0,-1.2733073847562104
0.5504,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,65-74,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,4,0,1,1,0,0,0,-1.0499535158647908
1.3468,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
1.692,Finding it difficult to get by,Yes,No,No,$500 to $999,Somewhat,Somewhat,Somewhat,45-54,Male,"$10,000 to $24,999",High school degree or GED,1,2,2,2,3,1,0,2,0.8601785902003165
1.5234,Doing okay,Yes,No,No,$100 to $499,Somewhat,Somewhat,Somewhat,35-44,Female,"$75,000 to $99,999",High school degree or GED,1,2,2,2,1,1,0,3,0.5206096051320828
0.7316,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,65-74,Female,"$25,000 to $49,999",Some college/technical or associates degree,0,4,0,1,0,0,0,0,-1.2842829197479382
1.2217,Doing okay,No,No,No,Under $100,Not at all,Not at all,Not at all,18-24,Male,"$75,000 to $99,999",Some college/technical or associates degree,0,4,0,0,1,1,0,4,-0.32159795171873723
0.7843,Doing okay,No,Yes,No,Under $100,Very little,Very little,Very little,65-74,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,3,1,1,1,0,0,4,-0.2059799845959597
0.7332,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,65-74,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,4,0,1,0,0,0,0,-1.2842829197479382
0.7842,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,75+,Male,"$25,000 to $49,999",High school degree or GED,0,4,0,1,1,0,0,0,-1.0499535158647908
1.0279,Living comfortably,No,Yes,No,$500 to $999,Very little,Very little,Very little,35-44,Female,"$75,000 to $99,999",Bachelor's degree or more,0,3,1,1,0,0,0,2,-0.6984890338752292
0.7919,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
0.6185,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Very well,55-64,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,2,3,1,0,0,0,-0.2476661206054914
1.0343,Finding it difficult to get by,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,3,0,0,0,-0.73932915739635
0.5782,Finding it difficult to get by,No,No,No,Under $100,Completely,Completely,Completely,55-64,Male,"$10,000 to $24,999",Some college/technical or associates degree,0,0,4,4,3,1,0,4,2.08965561514532
1.0521,Doing okay,Yes,No,No,"$1,000 to $1,999",Very little,Somewhat,Somewhat,25-34,Male,"$100,000 to $149,999",Some college/technical or associates degree,1,3,2,2,1,1,0,1,0.09341997544637887
0.446,Just getting by,No,Yes,No,Under $100,Somewhat,Somewhat,Completely,55-64,Male,"Less than $10,000",Some college/technical or associates degree,0,2,2,4,2,0,0,4,0.8300670076573359
0.4017,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,35-44,Male,"Less than $10,000",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
1.0535,Just getting by,No,No,No,$500 to $999,Somewhat,Somewhat,Somewhat,65-74,Male,"$25,000 to $49,999",Less than a high school degree,0,2,2,2,2,1,0,2,0.6258491863171692
1.0324,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,65-74,Male,"$150,000 or more",Some college/technical or associates degree,0,3,1,1,0,0,0,0,-0.9566686792713515
0.6624,Just getting by,Yes,No,Yes,$100 to $499,Somewhat,Very well,Completely,55-64,Female,"$25,000 to $49,999",Some college/technical or associates degree,1,2,3,4,2,1,1,3,1.603271886423569
1.3158,Just getting by,No,No,No,Under $100,Somewhat,Somewhat,Somewhat,65-74,Male,"$25,000 to $49,999",High school degree or GED,0,2,2,2,2,1,0,4,0.8840288317132913
0.4754,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Very little,Very little,75+,Male,"$50,000 to $74,999",Bachelor's degree or more,0,4,1,1,0,0,0,0,-1.1256786635609333
0.9669,Just getting by,No,No,No,Under $100,Very well,Completely,Completely,55-64,Male,"$10,000 to $24,999",High school degree or GED,0,1,4,4,2,1,0,4,1.6863162269725906
1.1451,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Female,"$150,000 or more",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
1.1297,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Very little,Somewhat,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,4,1,2,0,0,0,0,-0.9676442142630793
0.7967,Just getting by,No,Yes,No,$100 to $499,Somewhat,Somewhat,Very well,75+,Female,"$50,000 to $74,999",High school degree or GED,0,2,2,3,2,0,0,3,0.5429427356614209
0.6804,Living comfortably,No,Yes,No,"$2,000 or more",Somewhat,Very little,Very little,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,2,1,1,0,0,0,0,-0.7876586949817695
0.4252,Just getting by,No,Yes,No,$500 to $999,Somewhat,Very well,Very well,65-74,Male,"$75,000 to $99,999",Bachelor's degree or more,0,2,3,3,2,0,0,2,0.5724571691503648
1.0808,Living comfortably,No,Yes,No,"$1,000 to $1,999",Not at all,Not at all,Very little,18-24,Male,"$50,000 to $74,999",Some college/technical or associates degree,0,4,0,1,0,0,0,1,-1.155193097049877
1.4896,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,35-44,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.7331,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Not at all,Somewhat,35-44,Male,"$150,000 or more",Bachelor's degree or more,0,3,0,2,0,0,0,0,-0.9572384861605026
0.5785,Just getting by,No,No,No,$100 to $499,Somewhat,Very well,Somewhat,45-54,Male,"$100,000 to $149,999",Bachelor's degree or more,0,2,3,2,2,1,0,3,0.9135432652022352
0.7163,Just getting by,Yes,No,No,"$2,000 or more",Completely,Completely,Very well,45-54,Male,"$150,000 or more",Bachelor's degree or more,1,0,4,3,2,1,0,0,1.1809324711720743
0.6344,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.4124,Just getting by,No,No,No,$100 to $499,Completely,Completely,Completely,55-64,Male,"$10,000 to $24,999",Bachelor's degree or more,0,0,4,4,2,1,0,3,1.7262363885641117
0.756,Living comfortably,Yes,No,No,Under $100,Not at all,Not at all,Not at all,55-64,Female,"$25,000 to $49,999",Bachelor's degree or more,1,4,0,0,0,1,0,4,-0.5559273556018848
0.8337,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Somewhat,75+,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,2,1,0,0,0,-0.891919066566937
0.8142,Doing okay,No,No,No,"$1,000 to $1,999",Somewhat,Somewhat,Somewhat,65-74,Male,"$25,000 to $49,999",High school degree or GED,0,2,2,2,1,1,0,1,0.2624299597359606
1.0003,Doing okay,No,No,No,Under $100,Very little,Very well,Somewhat,25-34,Female,"$75,000 to $99,999",Bachelor's degree or more,0,3,3,2,1,1,0,4,0.6392936997275671
1.2029,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Very little,Very well,35-44,Female,"$100,000 to $149,999",Bachelor's degree or more,0,2,1,3,1,0,0,0,-0.23726039250291464
1.1491,Doing okay,Yes,Yes,No,$100 to $499,Not at all,Not at all,Not at all,55-64,Female,"$50,000 to $74,999",High school degree or GED,1,4,0,0,1,0,0,3,-0.8207184970684615
0.9708,Doing okay,Yes,No,No,Under $100,Somewhat,Somewhat,Somewhat,35-44,Female,"$50,000 to $74,999",High school degree or GED,1,2,2,2,1,1,0,4,0.6496994278301439
0.7631,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Somewhat,Completely,75+,Female,"$25,000 to $49,999",High school degree or GED,0,4,2,4,1,0,0,0,-0.25864165559721936
1.0554,Doing okay,No,Yes,No,"$1,000 to $1,999",Very well,Somewhat,Very well,35-44,Male,"$100,000 to $149,999",Bachelor's degree or more,0,1,2,3,1,0,0,1,0.21944367067173332
0.7849,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Very little,Somewhat,55-64,Female,"$25,000 to $49,999",Bachelor's degree or more,0,4,1,2,0,0,0,0,-0.9676442142630793
0.7856,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
1.5087,Doing okay,Yes,Yes,No,"$1,000 to $1,999",Somewhat,Very well,Very well,55-64,Female,"$150,000 or more",High school degree or GED,1,2,3,3,1,0,0,1,0.2090379425691565
0.6138,Doing okay,No,Yes,No,"$2,000 or more",Very well,Very well,Completely,45-54,Male,"$10,000 to $24,999",Some college/technical or associates degree,0,1,3,4,1,0,0,0,0.4069925534585311
1.0358,Doing okay,No,No,No,"$2,000 or more",Very well,Very well,Somewhat,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,1,3,2,1,1,0,0,0.46095437751448637
0.4733,Living comfortably,No,Yes,No,"$2,000 or more",Very well,Somewhat,Somewhat,65-74,Male,"$50,000 to $74,999",Bachelor's degree or more,0,1,2,2,0,0,0,0,-0.30201000520732896
0.7255,Just getting by,Yes,Yes,No,"$2,000 or more",Very well,Very well,Somewhat,55-64,Female,"$50,000 to $74,999",Some college/technical or associates degree,1,1,3,2,2,0,0,0,0.32525305874597055
0.7045,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Not at all,35-44,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,1,0,1,0,0,0,-0.8803737246860579
1.3721,Doing okay,No,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Somewhat,75+,Female,"$50,000 to $74,999",High school degree or GED,0,2,2,2,1,0,0,1,-0.10760076291570236
2.5279,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Somewhat,75+,Male,"$150,000 or more",Some college/technical or associates degree,0,2,2,2,1,0,0,0,-0.23669058561376344
0.6523,Doing okay,No,No,No,"$2,000 or more",Very little,Very little,Somewhat,55-64,Female,"$100,000 to $149,999",Bachelor's degree or more,0,3,1,2,1,1,0,0,-0.1942741034386872
0.6161,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,75+,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
1.0492,Just getting by,No,No,No,$100 to $499,Very well,Very well,Completely,55-64,Male,"$25,000 to $49,999",High school degree or GED,0,1,3,4,2,1,0,3,1.3986221480875247
1.0912,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Female,"$50,000 to $74,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.9818,Doing okay,No,No,No,"$2,000 or more",Completely,Not at all,Completely,45-54,Female,"$100,000 to $149,999",Bachelor's degree or more,0,0,0,4,1,1,0,0,0.4702204918387608
0.6369,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Very little,Very little,35-44,Male,"$50,000 to $74,999",Some college/technical or associates degree,0,3,1,1,1,0,0,1,-0.593249452690143
1.3232,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,35-44,Female,"$150,000 or more",Bachelor's degree or more,0,3,1,2,0,0,0,0,-0.7986342299734975
0.9182,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Very little,Somewhat,45-54,Female,"$100,000 to $149,999",Bachelor's degree or more,0,2,1,2,1,0,0,0,-0.3952948418007685
0.8499,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
0.9808,Doing okay,No,No,No,"$2,000 or more",Not at all,Somewhat,Somewhat,65-74,Female,"$100,000 to $149,999",High school degree or GED,0,4,2,2,1,1,0,0,-0.20467983154126398
0.7321,Doing okay,No,Yes,No,"$2,000 or more",Very little,Not at all,Not at all,55-64,Female,"$75,000 to $99,999",Bachelor's degree or more,0,3,0,0,1,0,0,0,-1.0389779808730628
0.6807,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,75+,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,3,1,1,0,0,0,0,-0.9566686792713515
0.7227,Living comfortably,No,Yes,No,$100 to $499,Very little,Not at all,Not at all,65-74,Female,"$50,000 to $74,999",Bachelor's degree or more,0,3,0,0,0,0,0,3,-0.8860379166620271
0.6978,Just getting by,No,No,No,"$2,000 or more",Somewhat,Very well,Very well,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,2,3,3,2,1,0,0,0.6843082464059058
0.7227,Living comfortably,No,Yes,No,"$2,000 or more",Very well,Not at all,Somewhat,75+,Female,"$50,000 to $74,999",Bachelor's degree or more,0,1,0,2,0,0,0,0,-0.6192185175813391
0.6634,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,75+,Female,"$75,000 to $99,999",Bachelor's degree or more,0,3,1,1,0,0,0,0,-0.9566686792713515
1.0089,Just getting by,No,No,No,$500 to $999,Very little,Somewhat,Somewhat,18-24,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,3,2,2,2,1,0,2,0.45683920202758727
0.3769,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Somewhat,55-64,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,3,2,2,1,0,0,0,-0.4057005699033453
1.2849,Living comfortably,Yes,Yes,No,"$2,000 or more",Not at all,Very little,Very little,55-64,Female,"$150,000 or more",Some college/technical or associates degree,1,4,1,1,0,0,0,0,-1.1256786635609333
0.5461,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Very well,Very well,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,2,3,3,1,0,0,0,0.07994811987109539
1.0523,Just getting by,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Somewhat,65-74,Male,"$150,000 or more",Some college/technical or associates degree,0,2,2,2,2,0,0,0,-0.0023611817306161084
0.6799,Doing okay,Yes,No,No,$100 to $499,Not at all,Somewhat,Somewhat,55-64,Female,"$25,000 to $49,999",Some college/technical or associates degree,1,4,2,2,1,1,0,3,0.1825896365529193
1.2968,Living comfortably,Yes,No,No,"$2,000 or more",Not at all,Not at all,Not at all,35-44,Female,"$100,000 to $149,999",Some college/technical or associates degree,1,4,0,0,0,1,0,0,-1.072286646394129
1.0718,Living comfortably,No,Yes,No,$500 to $999,Very little,Somewhat,Somewhat,45-54,Female,"$100,000 to $149,999",Bachelor's degree or more,0,3,2,2,0,0,0,2,-0.3818503283903705
0.885,Just getting by,No,Yes,No,$100 to $499,Very little,Somewhat,Somewhat,65-74,Female,"$25,000 to $49,999",Less than a high school degree,0,3,2,2,2,0,0,3,0.21589830207398533
0.7087,Doing okay,No,Yes,No,Under $100,Very little,Very well,Very well,65-74,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,3,3,3,1,0,0,4,0.42729742637375795
0.8881,Finding it difficult to get by,Yes,No,Yes,Under $100,Somewhat,Very little,Somewhat,45-54,Male,"$25,000 to $49,999",Some college/technical or associates degree,1,2,1,2,3,1,1,4,1.3334137020350596
0.4786,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Very well,75+,Male,"$75,000 to $99,999",Bachelor's degree or more,0,3,1,3,1,0,0,0,-0.40627037679249645
0.9014,Finding it difficult to get by,No,No,No,Under $100,Completely,Completely,Completely,45-54,Male,"$10,000 to $24,999",Some college/technical or associates degree,0,0,4,4,3,1,0,4,2.08965561514532
0.8177,Doing okay,No,No,No,$500 to $999,Somewhat,Very little,Somewhat,65-74,Female,"$50,000 to $74,999",High school degree or GED,0,2,1,2,1,1,0,2,0.23291552624701672
0.7137,Doing okay,No,No,No,Under $100,Not at all,Not at all,Not at all,75+,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,4,0,0,1,1,0,4,-0.32159795171873723
1.4896,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,25-34,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.9568,Doing okay,No,Yes,No,$500 to $999,Very little,Somewhat,Somewhat,35-44,Male,"$150,000 or more",Bachelor's degree or more,0,3,2,2,1,0,0,2,-0.1475209245072231
0.8248,Doing okay,No,No,No,"$1,000 to $1,999",Very little,Somewhat,Somewhat,45-54,Male,"$50,000 to $74,999",Some college/technical or associates degree,0,3,2,2,1,1,0,1,0.09341997544637887
1.0608,Just getting by,No,No,No,$100 to $499,Very well,Very well,Completely,55-64,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,1,3,4,2,1,0,3,1.3986221480875247
1.0899,Living comfortably,No,Yes,No,$500 to $999,Not at all,Somewhat,Somewhat,65-74,Female,"$150,000 or more",Some college/technical or associates degree,0,4,2,2,0,0,0,2,-0.5508603126799521
1.3678,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Very little,Very little,35-44,Female,"$150,000 or more",Some college/technical or associates degree,0,3,1,1,1,0,0,1,-0.593249452690143
1.6335,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Somewhat,65-74,Male,"$50,000 to $74,999",High school degree or GED,0,2,2,2,1,0,0,0,-0.23669058561376344
0.92,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,65-74,Male,"$150,000 or more",Some college/technical or associates degree,0,4,0,1,0,0,0,0,-1.2842829197479382
0.8724,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Somewhat,Somewhat,25-34,Male,"$150,000 or more",Bachelor's degree or more,0,3,2,2,0,0,0,0,-0.6400299737864926
1.0318,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Female,"$150,000 or more",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
0.6585,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Somewhat,Not at all,75+,Female,"$50,000 to $74,999",Bachelor's degree or more,0,4,2,0,0,0,0,0,-1.125108856671782
1.1501,Doing okay,No,Yes,No,"$1,000 to $1,999",Not at all,Not at all,Not at all,35-44,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,0,1,0,0,1,-1.0788981424645836
1.1014,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Male,"$150,000 or more",Some college/technical or associates degree,0,4,0,0,1,0,0,0,-1.2079879651626448
0.1788,Doing okay,Yes,No,No,$500 to $999,Somewhat,Somewhat,Somewhat,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,1,2,2,2,1,1,0,2,0.3915197824340217
0.483,Doing okay,No,No,No,"$1,000 to $1,999",Completely,Somewhat,Completely,75+,Male,"$10,000 to $24,999",Some college/technical or associates degree,0,0,2,4,1,1,0,1,0.916518826910832
0.577,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Male,"$75,000 to $99,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.5791,Just getting by,No,Yes,No,$100 to $499,Very little,Very little,Very little,65-74,Female,"$25,000 to $49,999",Some college/technical or associates degree,0,3,1,1,2,0,0,3,-0.1007404034108736
0.915,Living comfortably,No,Yes,No,"$1,000 to $1,999",Not at all,Very little,Very little,55-64,Female,"$100,000 to $149,999",High school degree or GED,0,4,1,1,0,0,0,1,-0.996588840862872
0.6324,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.8386,Finding it difficult to get by,Yes,No,No,$100 to $499,Somewhat,Completely,Completely,55-64,Female,"$75,000 to $99,999",Some college/technical or associates degree,1,2,4,4,3,1,0,3,1.6225458238680952
0.3875,Doing okay,Yes,No,No,"$2,000 or more",Somewhat,Somewhat,Somewhat,65-74,Male,"$10,000 to $24,999",Bachelor's degree or more,1,2,2,2,1,1,0,0,0.1333401370378996
0.8301,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.565,Doing okay,No,No,No,"$1,000 to $1,999",Somewhat,Very little,Very little,65-74,Male,"$25,000 to $49,999",Some college/technical or associates degree,0,2,1,1,1,1,0,1,-0.0542087457488982
1.2947,Doing okay,No,Yes,No,$100 to $499,Somewhat,Somewhat,Somewhat,35-44,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,2,2,2,1,0,0,3,0.1505788824804198
1.0696,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Not at all,55-64,Male,"$150,000 or more",Some college/technical or associates degree,0,3,1,0,1,0,0,0,-0.8803737246860579
1.6235,Just getting by,No,No,No,$100 to $499,Completely,Completely,Completely,18-24,Male,"$150,000 or more",Bachelor's degree or more,0,0,4,4,2,1,0,3,1.7262363885641117
0.8743,Doing okay,No,Yes,No,"$1,000 to $1,999",Very well,Somewhat,Completely,55-64,Female,"$50,000 to $74,999",High school degree or GED,0,1,2,4,1,0,0,1,0.37747811996958713
1.3339,Finding it difficult to get by,No,No,No,Under $100,Very well,Completely,Completely,55-64,Female,"$75,000 to $99,999",Some college/technical or associates degree,0,1,4,4,3,1,0,4,1.9206456308557383
0.976,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Very well,Very well,18-24,Female,"$50,000 to $74,999",Bachelor's degree or more,0,2,3,3,1,0,0,0,0.07994811987109539
1.2939,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,45-54,Female,"$150,000 or more",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.8801,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Somewhat,55-64,Female,"$100,000 to $149,999",Some college/technical or associates degree,0,2,2,2,1,0,0,0,-0.23669058561376344
0.6936,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,0,1,0,0,0,-1.2079879651626448
0.6324,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,75+,Male,"$150,000 or more",Bachelor's degree or more,0,3,1,2,1,0,0,0,-0.5643048260903503
